imdb_id,title,year_raw,released,runtime_raw,genres,director,writer,actors,language,country,awards,imdb_rating_raw,imdb_votes_raw,metascore_raw,box_office_raw,production,plot,rated,year,runtime_min,imdb_rating,imdb_votes,metascore,box_office_usd,decade,genres_list
tt1570728,"Crazy, Stupid, Love.",2011,29 Jul 2011,118 min,"Comedy, Drama, Romance","Glenn Ficarra, John Requa",Dan Fogelman,"Steve Carell, Ryan Gosling, Julianne Moore",English,United States,5 wins & 23 nominations total,7.4,"596,957",68,"$84,379,584","Carousel, DiNovi Pictures","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",PG-13,2011,118,7.4,596957,68.0,84379584.0,2010,"['Comedy', 'Drama', 'Romance']"
tt0314331,Love Actually,2003,14 Nov 2003,135 min,"Comedy, Drama, Romance",Richard Curtis,Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson","English, Portuguese, French","United Kingdom, France, United States",Won 1 BAFTA Award11 wins & 29 nominations total,7.5,"560,460",55,"$60,352,285",N/A,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",R,2003,135,7.5,560460,55.0,60352285.0,2000,"['Comedy', 'Drama', 'Romance']"
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,29 Jan 1964,95 min,"Comedy, War",Stanley Kubrick,"Stanley Kubrick, Terry Southern, Peter George","Peter Sellers, George C. Scott, Sterling Hayden","English, Russian","United Kingdom, United States",Nominated for 4 Oscars. 14 wins & 11 nominations total,8.3,"541,393",97,"$9,440,272",N/A,"A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",PG,1964,95,8.3,541393,97.0,9440272.0,1960,"['Comedy', 'War']"
tt10648342,Thor: Love and Thunder,2022,08 Jul 2022,118 min,"Action, Adventure, Comedy",Taika Waititi,"Taika Waititi, Jennifer Kaytin Robinson, Stan Lee","Chris Hemsworth, Natalie Portman, Christian Bale",English,"Australia, United States",4 wins & 21 nominations total,6.2,"440,651",57,"$343,256,830",N/A,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",PG-13,2022,118,6.2,440651,57.0,343256830.0,2020,"['Action', 'Adventure', 'Comedy']"
tt0758752,Love & Other Drugs,2010,24 Nov 2010,112 min,"Comedy, Drama, Romance",Edward Zwick,"Charles Randolph, Edward Zwick, Marshall Herskovitz","Jake Gyllenhaal, Anne Hathaway, Judy Greer",English,United States,1 win & 5 nominations total,6.7,"239,068",55,"$32,367,005",N/A,"In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.",R,2010,112,6.7,239068,55.0,32367005.0,2010,"['Comedy', 'Drama', 'Romance']"
tt0138097,Shakespeare in Love,1998,08 Jan 1999,123 min,"Comedy, Drama, History",John Madden,"Marc Norman, Tom Stoppard","Gwyneth Paltrow, Joseph Fiennes, Geoffrey Rush",English,"United Kingdom, United States",Won 7 Oscars. 65 wins & 87 nominations total,7.1,"239,631",87,"$100,317,794",N/A,"History's greatest playwright is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays.",R,1998,123,7.1,239631,87.0,100317794.0,1990,"['Comedy', 'Drama', 'History']"
tt0431308,P.S. I Love You,2007,21 Dec 2007,126 min,"Comedy, Drama, Romance",Richard LaGravenese,"Richard LaGravenese, Steven Rogers, Cecelia Ahern","Hilary Swank, Gerard Butler, Harry Connick Jr.",English,"United States, United Kingdom",2 wins & 4 nominations total,7.0,"222,925",39,"$53,706,790",N/A,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,PG-13,2007,126,7.0,222925,39.0,53706790.0,2000,"['Comedy', 'Drama', 'Romance']"
tt1155056,"I Love You, Man",2009,20 Mar 2009,105 min,"Comedy, Romance",John Hamburg,"John Hamburg, Larry Levin","Paul Rudd, Jason Segel, Rashida Jones",English,United States,1 win & 8 nominations total,7.0,"222,494",70,"$71,440,011",N/A,"Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?",R,2009,105,7.0,222494,70.0,71440011.0,2000,"['Comedy', 'Romance']"
tt0272338,Punch-Drunk Love,2002,01 Nov 2002,95 min,"Comedy, Drama, Romance",Paul Thomas Anderson,Paul Thomas Anderson,"Adam Sandler, Emily Watson, Philip Seymour Hoffman",English,United States,14 wins & 37 nominations total,7.3,"187,199",78,"$17,844,216",N/A,Socially frustrated Barry Egan calls a phone-sex line to curb his loneliness. Little does he know it will land him in deep trouble and will jeopardize his burgeoning romance with the mysterious Lena.,R,2002,95,7.3,187199,78.0,17844216.0,2000,"['Comedy', 'Drama', 'Romance']"
tt0118694,In the Mood for Love,2000,09 Mar 2001,98 min,"Drama, Romance",Wong Kar-Wai,Wong Kar-Wai,"Maggie Cheung, Tony Leung Chiu-wai, Ping-Lam Siu","Cantonese, Shanghainese, French, Spanish","Hong Kong, France",Nominated for 1 BAFTA Award45 wins & 50 nominations total,8.1,"180,003",87,"$3,377,950",N/A,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",PG,2000,98,8.1,180003,87.0,3377950.0,2000,"['Drama', 'Romance']"
